question,wiki-url,score 1,score 2,score 3,score 4,answer 1,answer 2,answer 3,answer 4
Who owns the copyright to the language?,https://en.wikipedia.org/wiki/Klingon,Easy,Easy,Easy,Easy,CBS Television Studios,CBS,CBS TV Studios,CBS Television Studios
Is Klingon easy to speak everyday?,https://en.wikipedia.org/wiki/Klingon,Medium,Medium,Medium,Medium,No,No,No,No
Who speaks Klingon? ,https://en.wikipedia.org/wiki/Klingon,Easy,Easy,Easy,Easy,It is spoken by the fictional Klingons in the Star Trek universe,It is spoken by the fictional Klingons in the Star Trek universe,The fictional Klingons in Star Trek,Klingons
Is Klingon case-sensitive?,https://en.wikipedia.org/wiki/Klingon,Easy,Easy,Medium,Medium,Yes,Yes,Yes,Yes
Why is it difficult to converse in Klingon in everyday situations?,https://en.wikipedia.org/wiki/Klingon,Medium,Medium,Medium,Medium,The vocabulary is focused on warfare and spacecrafts,Its vocabulary is heavily centered on†Star Trek-Klingon concepts such as†spacecraft†or†warfare,the vocabulary is centered on war and spacecrafts,The vocabulary is focused on warfare and spacecrafts
What organisation promotes the klingon language ?,https://en.wikipedia.org/wiki/Klingon,Easy,Easy,Easy,Easy,The Klingon Language Institute,Klingon Language Institute,Klingon Language Institute,The Klingon Language Institute
What are the non-Star Trek TV series that use klingon language ?,https://en.wikipedia.org/wiki/Klingon,Hard,Medium,Medium,Hard,"†Frasier,†The Big Bang Theory, and†Lucifer,†My Big Fat Geek Wedding.","†Frasier,†The Big Bang Theory, and†Lucifer,†My Big Fat Geek Wedding.","†Frasier,†The Big Bang Theory, and†Lucifer,†My Big Fat Geek Wedding.","†Frasier,†The Big Bang Theory, and†Lucifer,†My Big Fat Geek Wedding."
What kind of consonants were used in invention of klingon to make it different to other natural languages,https://en.wikipedia.org/wiki/Klingon,Medium,Medium,Medium,Medium,Retroflex and Uvukar constinants,retroflex†and†uvular†consonants ,Retroflex and Uvukar constinants,Retroflex and Uvukar constinants
How many consonants and vowels are in klingon languages ?,https://en.wikipedia.org/wiki/Klingon,Medium,Easy,Easy,Medium,21 consonants and 5 vowels,twenty-one consonants and five vowels.†,21 consonants and 5 vowels,Twenty One consonants and five vowels.†
Are upper and lower-cases interchangeable in klingon language ?,https://en.wikipedia.org/wiki/Klingon,Medium,Easy,Easy,Medium,No,No ,No,No 
Which human languages have vowels that are similar to those in the Klingon language?,https://en.wikipedia.org/wiki/Klingon,Easy,Easy,Easy,Medium,Spanish and Japanese,Spanish or Japanese,Spanish and Japanese,Spanish or Japanese
"In Klingon language , the word ""puqbe"" (daughter) is derived from which word?",https://en.wikipedia.org/wiki/Klingon,Hard,Hard,Hard,Hard,be,be?,be',be'
Is the sentence order similar to the one in english ?,https://en.wikipedia.org/wiki/Klingon,Medium,Medium,Easy,Medium,No,No ,No,No 
Where do they often use capital consonants when writing in Klingon?,https://en.wikipedia.org/wiki/Klingon,Easy,Easy,Medium,Medium,Capitals are generally reserved for uvular or retroflex consonants,Capitals are generally reserved for uvular or retroflex consonants,Capitals are generally reserved for uvular or retroflex consonants,Capitals are generally reserved for uvular or retroflex consonants
How many world litreature pieces were translated to Klingon?,https://en.wikipedia.org/wiki/Klingon,Easy,Medium,Easy,Medium,four,4,Four,four
When did Speers stop talking to his son in Klingon?,https://en.wikipedia.org/wiki/Klingon,Hard,Hard,Hard,Hard,At 5 years old,When he was 5 years old,At five years old,when he reached 5
When was the Learn Klingon course released?,https://en.wikipedia.org/wiki/Klingon,Easy,Medium,Medium,Easy,September 2011,September 2011,In September 2011,in 2011
Does google search have a Klingon option?,https://en.wikipedia.org/wiki/Klingon,Easy,Medium,Easy,Medium,Yes,Yes,Yes,yes
Does klingon use prefixes to change the meaning of words?,https://en.wikipedia.org/wiki/Klingon,Medium,Medium,Medium,Medium,No ,No ,No,no
What alphabit is Klingon written with?,https://en.wikipedia.org/wiki/Klingon,Medium,Medium,Hard,Hard,Latin Alphabit,The latin alphabit,Latin Alphabit,The latin Alphabit
Is Klingon word worder the same as English word order?,https://en.wikipedia.org/wiki/Klingon,Hard,Medium,Hard,Medium,No ,No ,No,no
Where is the Klingon language spoken?,https://en.wikipedia.org/wiki/Klingon,Medium,Easy,Easy,Medium,In Star Trek,Star Trek,in the star trek universe,In the Star Trek Universe
What is the name of the play that was firstly produced in Klingon?,https://en.wikipedia.org/wiki/Klingon,Easy,Easy,Easy,Easy,A Klingon Christmas Carol,A Klingon Christmas Carol,A Klingon Christmas Carol,A Klingon Christmas Carol
What effect does the Klingon vocabulary's heavy reliance on Start Trek-Klingon cause?,https://en.wikipedia.org/wiki/Klingon,Easy,Medium,Medium,Easy,It is hard for day to day use,it is cumbersome for everyday use,it is difficult for daily use,It sometimes makes it cumbersome for everyday use
What non-Klingon characters were discovered to have learned Klingon in Star Trek?,https://en.wikipedia.org/wiki/Klingon,Easy,Medium,Medium,Medium,Jean-Luc Picard and Dax,Jean-Luc Picard and Dax,Jean-Luc Picard and Dax,Jean-Luc Picard and Dax
"When the Klingon language was being developed, how did the creators of the language want it sound?",https://en.wikipedia.org/wiki/Klingon,Hard,Hard,Medium,Hard,Alien,to make it alien,alien sounding,To make it sound Alien
What is the design principal for the Klingon language?,https://en.wikipedia.org/wiki/Klingon,Medium,Medium,Hard,Hard,to make it different from common languages,"to provide dissimilarity to existing natural languages in general, and English in particular",To make it unrecognizable,Make it hard for the year
When was Python created?,https://en.wikipedia.org/wiki/Python_(programming_language),Easy,Easy,Easy,Easy,1989,in 1989,1989,1989
Who created Python?,https://en.wikipedia.org/wiki/Python_(programming_language),Easy,Easy,Easy,Easy,Guido van Rossum,Guido van Rossum,Guido van Rossum,Guido van Rossum
When was PyS60 developed?,https://en.wikipedia.org/wiki/Python_(programming_language),Medium,Medium,Medium,Medium,2005,2005,in 2005,2005
What is the Python Enhancement Proposal?,https://en.wikipedia.org/wiki/Python_(programming_language),Hard,Hard,Medium,Hard,"It is the primary mechanism for proposing major new features, for collecting community input on an issue, and for documenting the design decisions that have gone into Python.","It is the primary mechanism for proposing major new features, for collecting community input on an issue, and for documenting the design decisions that have gone into Python.","It is the primary mechanism for proposing major new features, for collecting community input on an issue, and for documenting the design decisions that have gone into Python.","It is the primary mechanism for proposing major new features, for collecting community input on an issue, and for documenting the design decisions that have gone into Python."
Is Python a top programming language?,https://en.wikipedia.org/wiki/Python_(programming_language),Medium,Easy,Hard,Medium,Yes,Yes,Yes,Yes
What organizations make use of Python?,https://en.wikipedia.org/wiki/Python_(programming_language),Hard,hard,Easy,Hard,"Google, Yahoo!, CERN, NASA, ILM, and ITA","Google, Yahoo!, CERN, NASA, ILM, and ITA","Google, Yahoo!, CERN, NASA, ILM, and ITA","Google, Yahoo!, CERN, NASA, ILM, and ITA"
Is Python influential to other programming languages? ,https://en.wikipedia.org/wiki/Python_(programming_language),Medium,Medium,Medium,Medium,Yes,Yes,Yes,Yes
Is indentation optional in python ?,https://en.wikipedia.org/wiki/Python_(programming_language),Hard,Hard,hard,Hard,Yes,Yes,Yes,Yes
Is python object oriented in its approach ?,https://en.wikipedia.org/wiki/Python_(programming_language),Easy,Easy,Easy,Easy,Yes,Yes,Yes,Yes
What are new features that were introduced in Python 2.0 ?,https://en.wikipedia.org/wiki/Python_(programming_language),Medium,Medium,Medium,Hard,list comprehensions and a garbage collection system,list comprehensions and a garbage collection system,list comprehensions and a garbage collection system,list comprehensions and a garbage collection system
The name python is a tribute to what ?,https://en.wikipedia.org/wiki/Python_(programming_language),Easy,Easy,Easy,Easy,The Monty Python series,Monty Python ,The Monty Python series,Monty Python Series 
What differentiates python from other languages in terms of readability ?,https://en.wikipedia.org/wiki/Python_(programming_language),Easy,Easy,Easy,Easy,"visually uncluttered, and it often uses English keywords where other languages use punctuation","visually uncluttered, and it often uses English keywords where other languages use punctuation","visually uncluttered, and it often uses English keywords where other languages use punctuation","visually uncluttered, and it often uses English keywords where other languages use punctuation"
What does the raise statement used for in python ?,https://en.wikipedia.org/wiki/Python_(programming_language),Hard,Medium,Medium,Medium,The statement is used to raise a specified exception or re-raise a caught exception,The statement is used to raise a specified exception or re-raise a caught exception,The statement is used to raise a specified exception or re-raise a caught exception,The statement is used to raise a specified exception or re-raise a caught exception
"For boolean operators,does python support symbolic operators as Java ?",https://en.wikipedia.org/wiki/Python_(programming_language),Medium,Medium,Medium,Medium,No ,No ,No ,No 
What enhacement was brought by Ipython ?,https://en.wikipedia.org/wiki/Python_(programming_language),Medium,Hard,Medium,Hard,"It has  improved auto-completion, session state retention and syntax highlighting.","It has  improved auto-completion, session state retention and syntax highlighting.","It has  improved auto-completion, session state retention and syntax highlighting.","It has  improved auto-completion, session state retention and syntax highlighting."
What libraries in Python are commonly used in artificial intelligence projects ?,https://en.wikipedia.org/wiki/Python_(programming_language),Hard,Medium,Hard,Medium,"TensorFlow, Keras, Pytorch and Scikit-learn","TensorFlow, Keras, Pytorch and Scikit-learn","TensorFlow, Keras, Pytorch and Scikit-learn","TensorFlow, Keras, Pytorch and Scikit-learn"
What are python admirers referred to as?,https://en.wikipedia.org/wiki/Python_(programming_language),Easy,Easy,Easy,Easy ,Pythonists,"Pythonistis, Pythonistas","Pythonists, Pythonistas, and Pythoneers","Pythonists, Pythonistas, Pythoneers"
What is the if statement accompanied by?,https://en.wikipedia.org/wiki/Python_(programming_language),Hard,Medium,Medium,Easy,else and elif,else and elif,else and elif,else and elif
What is used to compare by value in python?,https://en.wikipedia.org/wiki/Python_(programming_language),Medium,Medium,Hard,Hard,The ==,The ==,The ==,The ==
Can statements be a part of an expression?,https://en.wikipedia.org/wiki/Python_(programming_language),Easy,Medium,Medium,Medium,No,No,No,No
What types of classes did python have?,https://en.wikipedia.org/wiki/Python_(programming_language),Medium,hard,Hard,Medium,old-style and new-style,old-style and new-style,old-style and new-style,old-style and new-style
What did python 3.0 change for division?,https://en.wikipedia.org/wiki/Python_(programming_language),Medium,Hard,Medium,Medium,/ is a floating point division,/ is always a floating point division,It changed / to always be floating-point division,"in the new versison, / is always a floating point division"
When was Python ranked as the programming language of the year?,https://en.wikipedia.org/wiki/Python_(programming_language),Easy,Medium,Easy,Easy,"2007, 2010",2007 and 2010,In  2007 and 2010,In  2007 and 2010
When did Guido Van Rossum begin working on Python?,https://en.wikipedia.org/wiki/Python_(programming_language),Easy,Easy,Easy,Easy,In the late 1980s,in the 1980s,late 1980s,late 1980s
When was Python 2.0 released?,https://en.wikipedia.org/wiki/Python_(programming_language),Easy,Easy,Easy,Easy,16 October 2000,16 October 2000,16 October 2000,16 October 2000
Does Python design offer some support for functional programming?,https://en.wikipedia.org/wiki/Python_(programming_language),Easy,Easy,Easy,Easy,Yes,Yes,Yes,yes
What does Python utilize for delimitting blocks?,https://en.wikipedia.org/wiki/Python_(programming_language),Medium,Hard,Medium,Hard,White Space indentation,White Space indentation,White Space indentation,White Space indentation
"What does Python not and will never support, according to Guido van Rossum?
",https://en.wikipedia.org/wiki/Python_(programming_language),Hard,Medium,Medium,Medium,tall call optimization or first-class continuations,tall call optimization or first-class continuations,tall call optimization or first-class continuations,tall call optimization or first-class continuations
What does Python use for its boolean operators?,https://en.wikipedia.org/wiki/Python_(programming_language),Hard,Medim,Medium,Hard,"And, or, not","And, or, not","And, or, not","And, or, not"
Which Python version allows information transfer via several stack levels?,https://en.wikipedia.org/wiki/Python_(programming_language),Medium,Medium,Medium,Medium,in Python 3.5,Python 3.5,Python 3.5,Python 3.5
Document - 1,,,,,,,,,
What is the full name of Cristiano Ronalado? ,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy,Easy,Medium,Hard,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo,Cristiano Ronaldo
When was Cristiano Ronaldo born?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy,Easy,Medium,Hard,"5th February, 1985","5th February, 1985",5th February,-
Where was Cristiano Ronaldo born?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy,Easy,Medium,Medium,Madiera,Madiera,Madiera,Madiera
What is the nationality of Cristaniano Ronalado?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Medium,Medium ,Easy,Portuguese,Portuguese,Portuguese,Portugal
What was the name of Cristiano's second club?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Medium ,Medium ,Medium ,Manchester United,Manchester United,Manchester United,Manchester United
At what age Ronaldo's won his first ballondor? ,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Medium ,Hard,Hard,23,23,N/A,N/A
Which football club Ronaldo's currently plays for?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Easy,Easy,Manchester United,Manchester United,Manchester United,Manchester United
Which country Ronaldo's plays for ?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Easy,Medium,Portugal,Portugal,Portugal,Portugal
How much did Real Madrid buy him for in uS$ ?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Hard,Hard,94 million Euros,N/A,N/A,N/A
What was Ronaldo's first football club?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy,Easy,Medium,Hard,Spprting CP,Spprting CP,Sporting,N/A
How many ballondors have Ronadlo won in his career? ,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy ,Easy ,Easy,Hard,5,5,4,N/A
Cristiano Ronaldo's jersey number at Manchester United,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy,Easy,Medium,Medium,7,7,7,7
What shirt number Cristiano Ronaldo requested at Manchester United?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Hard,Hard,Hard,28,N/A,N/A,N/A
How many goals did Ronaldo score during 2007-08 season?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Medium ,Medium ,Medium ,42,40,N/A,N/A
How many club career goals does Cristiano Ronaldo has?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Medium ,Hard,Hard,642,642,580,N/A
How many times was Ronaldo transfer a record breaker in the market? ,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Hard,Hard,2,2,N/A,N/A
How many clubs has Cristiano Raonaldo played for?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Hard,Hard,4,4,4,4
How does Cristiano Ronaldo celeberate after scoring a goal?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Hard,Hard,storming jump and a trun landing in spread eagled fashion,Siuu,Jump,Siuu
Which season Cristiano won his first PL title ?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy,Easy,Medium,Hard,2006-07,2006,N/A,N/A
How many career goals does Cristiano Ronaldo has?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy,Easy,Easy,Hard,679,N/A,435,~1000
How many career goals for a club Cristiano Ronaldo has?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy,Easy,Medium,Medium,482,457,435,N/A
Which is Cristiano Ronaldo strongest feet?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Medium,Medium ,Easy,He is strong with both feet,Right Foot,Left,Left
When did Cristiano Ronaldo test positive for COVID-19?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Medium ,Medium ,Medium ,"October 13th, 2020",2020,2020,2020
Whne did  Cristiano Ronaldo score his 100th and 101st interational goal,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Medium ,Hard,Hard,8th September 2020,2020,2020,N/A
What is Cristiano Ronaldo's style of play?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Hard,Hard,Either wing as well as through the center of pitch,Attacker and wing,Striker,Attack
Is Ronaldo the oldest player to scorea a hatrick in a FIFA world cup match?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Hard,Hard,Yes,Yes,No ,No
Who is Cristiano most compared with?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Hard,Hard,Lionel Messi,Messi,Messi,Messi
How many children does Cristiano Ronaldo has?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy ,Easy,Medium,Hard,four,4,1,4
When did Cristiano Ronaldo joined Juventus?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy,Easy ,Easy,Hard,10 July 2018,2018,N/A,N/A
When was Ronaldo charged with fraudulently evading Euro 15 million in tax between 2011-2014 ?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Easy,Easy,Medium,Medium,July 2017,2018,2015,2017
When did Ronaldo's father died?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Medium ,Medium ,Easy,"September, 2005",N/A,N/A,N/A
Who designed The brown statue of Ronaldo ?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Hard,Hard,Hard,Ricardo Madeira Veloso,N/A,N/A,N/A
When did Ronaldo made a debut in Premier League?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Medium ,Medium ,Hard,Hard,16 August 2003,2003,N/A,2001
What is the name of Ronaldo's fashion boutique ?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Hard,Hard,CR7,Cr7,Cr7,RonaldoFashion
Who is Ronaldo in a relationship with?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Hard,Hard,Spanish Model Georgina Rodriguez,Georgina,Georgina,Georgia
What are the names of Cristian Ronaldo's children?,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Hard,Hard,Hard,Hard,"Cristiano Jr, Eva, Mateo, Alana Martina",Cristiano Jr,Cristiano Jr,Cristiano Jr
Document - 2,,,,,,,,,
Who directed Harry Potter and the Prisoner of Azkaban,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,Alfonso CuarÛn,Alfonso CuarÛn,Alfonso CuarÛn,Alfonso CuarÛn
When was the film released in United Kingdom,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,31 May 2004,31 May 2004,31 May 2004,31 May 2004
How much Prisoner of Azkaban made worldwide,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,$796.7 million,$796.7 million,$796.7 million,$796.7 million
Which is the lowerst-grossing Harry Porter film?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Medium ,Medium ,Medium ,Prisoner of Azkaban,Prisoner of Azkaban,Prisoner of Azkaban,Prisoner of Azkaban
What is the worldwide earnings of Prisoner of Azkaban?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Hard,Easy,Medium ,$796.7 million,$249.5 million,$249.5 million,$249.5 million
Was Prisoner of Azkaban the Harry Potter series longest book at the time of publication?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Medium ,Medium ,Hard,Yes,Yes,Yes,No
Was Harry Potter and the Prisoner of Azkaban movie the first of the series to use real life locations,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Medium ,Yes,No,Yes,No
Name of the 4 BAFTA awards that Prisoner of Azkaban was nominated for?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Medium ,Hard,"Best British Film, Best Production Design, Best Makeup & Hair, and Best Visual Effects","Best British Film, Best Production Design, Best Makeup & Hair, and Best Visual Effects","Best British Film, Best Production Design, Best Makeup & Hair, and Best Visual Effects",N/A
Which other film has broken the record at UK's highes opening weeken at the Box office ?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Easy,Spectre,Spectre,N/A,Spectre
How many Academy Awards was Harry Potter and the Prisoner of Azkaban nominated for,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,2,2,2,2
When was the film released in United States,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy ,Easy,Easy ,Easy,4 June 2004,4 June 2004,4 June 2004,4 June 2004
How many Visual Effects Society Awards was the film nominated for,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Medium ,Easy,Easy,2,2,2,2
How long was the time travel shot featured in the film?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Medium ,Medium ,Easy,A minute long,A minute long,A minute long,A minute long
How much did the movie make on the first day in United Kingdom's box office?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Hard,Hard,Hard,5.3 million,5.3 million,2.9 million,5.3 million
What is the average rating of the movie on Rotten Tomatoes?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Medium ,Medium ,Medium ,7.8/10,7.8/10,9-10,7.8/10
How did the landskape changed from previous Harry Porter movies,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Hard,changed from being completely flat to the side of a hill,N/A,changed to side of hill,Changed to flat
"After Prisoner of Azkaban, which other part from the series was nominated for Academy Awards?",https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Easy,Hard,Hard,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire
Who was scrabbers the mouse?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Medium ,Peter Pettigrew,Peter Pettigrew,Peter Black,Peter Pettigrew
Where was the premier of Harry Potter and the Prisoner of Azkaban held in New York,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,Radio City Music Hall,Radio City Music Hall,Radio City Music Hall,Radio City Music Hall
When was Harry Potter and the Prisoner of Azkaban released on DVD and VHS,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,23 November,23 November,23 November,23 November
When did the Principal photography for the film began,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,24 February 2003,24 February 2003,24 February 2003,24 February 2003
What is the ranking of the movie in Empire magazine's 2008 list of the 500 greatest movies of all time?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Hard,Easy,Easy,471,471,Not in the list,471
What does Serius send Harry as a gift?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Medium ,Medium ,Medium ,Firebolt Broom,Firebolt Broom,Firebolt Broom,Firebolt Broom
What was the weighted of the film in Metacritic our of 100?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Medium ,Medium ,Medium ,82,82,82,82
What did Sean Smith from Newsweek said about the movie?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Medium ,"""The Prisoner of Azkaban boasts a brand-new director and a bold new vision,""","""The Prisoner of Azkaban boasts a brand-new director and a bold new vision,""",N/A,"""The Prisoner of Azkaban boasts a brand-new director and a bold new vision,"""
"Despite its successful box office run, is Azkaban the lowest-grossing Harry Potter film?",https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Medium ,Hard,Hard,Yes,Yes,Yes,No
What did Nicole Arthur of The Washington Post praised the film for?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Hard,Hard,"""complex, frightening and nuanced""","""complex, frightening and nuanced""","""complex, frightening and nuanced""",N/A
Where was the The Knight Bus sequence shot,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy ,Easy ,Easy ,Easy ,London,London,London,London
Which is often regarded by critics and fans alike as the best film in the series?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,Prisoner of Azkaben,Prisoner of Azkaben,Prisoner of Azkaben,Prisoner of Azkaben
What is the name of the dark wizard lord in the series?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Easy,Easy,Easy,Easy,Lord Voldemort,Lord Voldemort,Lord Voldemort,Lord Voldemort
How much did the film make in United States and Canada?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Hard,Hard,Medium ,93.7 million,93.7 million,54 million,93.7 million
How many weekends was the film at No.1 at the North American box office?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Medium ,Medium ,Medium ,2 consecutive weekends,2 consecutive weekends,2 consecutive weekends,2 consecutive weekends
Name of Harry's muggle Uncle?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Medium ,Medium ,Medium ,Medium ,Vernon Dursley,Vernon Dursley,Vernon Dursley,Vernon Dursley
Was the romantic connection between Ron and Hermione is more prominent in the film than the book?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Hard,Easy,Easy,Yes,Yes,Yes,Yes
"What did Harry shout in anger after learning of Black's ""betrayal"" of Harry's parents?",https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Easy,Easy,Medium ,"""I'm gonna kill him""","""I'm gonna kill him""","""I'm gonna kill him""","""I'm gonna kill him"""
How much the film made in U.S. and Canada during first year?,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban_(film),Hard,Easy,Hard,Hard,$249.5 million,$249.5 million,$249.5 million,$796.7 million
Is Aries one of the constellations of the zodiac?,http://en.wikipedia.org/wiki/Aries_(constellation),Easy,Easy,Easy,,Yes,Yes,Yes,
Is Aries home to meteor showers?,http://en.wikipedia.org/wiki/Aries_(constellation),Easy,Easy,Medium,,Yes,Yes,Yes,
Is the name Aries Latin for ram?,http://en.wikipedia.org/wiki/Aries_(constellation),Easy,Easy,Easy ,,Yes,Yes,Yes,
Where is Aries located? ,http://en.wikipedia.org/wiki/Aries_(constellation),Medium,Medium,Easy,,In the northern celestial hemisphere,In the northern celestial hemisphere between Pisces to the west and Taurus to the east.,in the northern celestial hemisphere between Pisces to the west and Taurus to the east.,
When does the Daytime Arietid meteor shower occur?,http://en.wikipedia.org/wiki/Aries_(constellation),Medium,Hard,Hard,,22 May to 2 June,during the day between 22 May to 2 June,May 22 to June 2,
What was the first lunar mansion in Hindu astronomy called?,http://en.wikipedia.org/wiki/Aries_(constellation),Medium,Medium,Medium,,Aswini,Aswini,Aswini,
What is Aries associated with in Greek mythology?,http://en.wikipedia.org/wiki/Aries_(constellation),Hard,Hard,Medium,,the golden ram,the golden ram,Golden Ram,
"Why did Aries acquire the title of ""Lord of the Head"" in Egypt?",http://en.wikipedia.org/wiki/Aries_(constellation),Hard,Hard,Hard,,Its symbolic and mythological importance,because of its symbolic and mythological importance,Symbolic and mythological importance ,
Why are the Daytime Arietids observed in the radio spectrum?,http://en.wikipedia.org/wiki/Aries_(constellation),Hard,Hard,Hard,,Most of the Daytime Arietids are not visible to the naked eye,Most of the Daytime Arietids are not visible to the naked eye,because of the ionized gas they leave in their wake.,
